N_node,Soma_surface,N_stem,Number_of_Nodes,Soma_Surface,Number_of_Stems,Number_of_Bifurcations,Number_of_Branches,Number_of_Tips,Overall_Width,Overall_Height,Overall_Depth,Average_Diameter,Total_Length,Total_Surface,Total_Volume,Max_Euclidean_Distance,Max_Path_Distance,Max_Branch_Order,Average_Contraction,Average_Fragmentation,Average_PD_Ratio,Avg_Bif_Angle_Local,Avg_Bif_Angle_Remote,Hausdorff_Dimension,Name,PlateID,WellID
48.0,2463.00864,3.0,48.0,2463.01,3.0,1.0,3.0,3.0,374.782,94.1679,0.0,10.4608,453.442,14545.2,49789.9,340.932,347.322,1.0,0.990339,14.6667,0.927262,152.767,147.37,0.995109,segment_0064_app2.swc,Xu_BA071_CP_2,A01
90.0,2827.433388,2.0,90.0,2827.43,2.0,1.0,2.0,2.0,490.565,476.707,0.0,8.18933,877.034,22221.8,55078.8,428.736,544.865,1.0,0.885205,43.5,0.933333,178.823,125.797,0.998697,segment_0359_app2.swc,Xu_BA071_CP_2,A01
39.0,2463.00864,2.0,39.0,2463.01,2.0,2.0,4.0,3.0,313.117,74.0079,0.0,10.3688,364.089,11592.9,42946.7,167.317,181.342,2.0,0.968711,8.5,0.993818,110.372,97.8693,0.961091,segment_0265_app2.swc,Xu_BA071_CP_2,A01
77.0,12867.963509,1.0,77.0,12868.0,1.0,0.0,1.0,1.0,494.476,514.877,0.0,47.3357,758.048,114207.0,1.38137,713.866,758.048,1.0,0.941717,75.0,0.874728,,,0.983285,segment_0366_app2.swc,Xu_BA071_CP_2,A01
71.0,2123.716634,2.0,71.0,2123.72,2.0,1.0,2.0,2.0,467.701,491.404,0.0,9.88664,683.986,20825.0,57307.4,398.138,399.636,1.0,0.992073,34.0,0.99535,176.836,174.913,0.975321,segment_0130_app2.swc,Xu_BA071_CP_2,A01
80.0,2827.433388,3.0,80.0,2827.43,3.0,1.0,3.0,3.0,242.244,525.01,0.0,10.9791,774.67,26385.4,81683.8,453.478,462.052,1.0,0.919252,25.3333,0.903311,134.534,98.8106,0.996702,segment_0275_app2.swc,Xu_BA071_CP_2,A01
75.0,3631.681108,2.0,75.0,3631.68,2.0,5.0,10.0,6.0,301.847,270.879,0.0,8.82377,681.687,18075.2,50654.1,214.194,238.998,5.0,0.969051,6.4,0.81681,90.4653,105.572,0.989242,segment_0349_app2.swc,Xu_BA071_CP_2,A01
188.0,7238.229474,4.0,188.0,7238.23,4.0,7.0,17.0,11.0,574.558,504.283,0.0,11.8535,1779.89,62608.2,251304.0,521.26,581.086,4.0,0.928276,10.0,0.88804,71.8569,81.1341,1.10529,segment_0191_app2.swc,Xu_BA071_CP_2,A01
66.0,3631.681108,3.0,66.0,3631.68,3.0,3.0,7.0,5.0,155.281,301.326,0.0,10.4121,603.003,18410.0,62429.7,176.566,191.817,3.0,0.976374,8.28571,0.83986,98.5646,104.955,1.01924,segment_0293_app2.swc,Xu_BA071_CP_2,A01
1.0,135917.864565,0.0,1.0,135918.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,segment_0003_app2.swc,Xu_BA071_CP_2,A01
37.0,2827.433388,2.0,37.0,2827.43,2.0,2.0,4.0,3.0,160.593,234.999,0.0,16.2364,334.063,16946.9,80348.8,222.539,224.593,2.0,0.987252,8.0,0.923602,108.733,104.097,1.0,segment_0232_app2.swc,Xu_BA071_CP_2,A01
66.0,8494.866535,2.0,66.0,8494.87,2.0,3.0,6.0,4.0,154.06,326.132,0.0,16.0426,616.482,29270.7,188742.0,278.315,294.163,3.0,0.973357,9.83333,0.869912,70.326,73.221,0.99745,segment_0178_app2.swc,Xu_BA071_CP_2,A01
25.0,7238.229474,3.0,25.0,7238.23,3.0,1.0,3.0,3.0,100.929,123.0,0.0,24.5989,219.878,16590.5,123569.0,77.5673,80.2077,1.0,0.973155,7.0,0.922629,65.3512,62.4393,0.975753,segment_0311_app2.swc,Xu_BA071_CP_2,A01
38.0,7238.229474,2.0,38.0,7238.23,2.0,1.0,2.0,2.0,33.1199,352.966,0.0,21.1096,360.315,23931.3,145408.0,262.645,265.831,1.0,0.991502,17.5,0.948015,180.0,162.195,0.919755,segment_0331_app2.swc,Xu_BA071_CP_2,A01
145.0,4071.504079,2.0,145.0,4071.5,2.0,4.0,8.0,5.0,1123.61,245.021,0.0,10.2557,1400.9,43878.1,159812.0,949.634,960.991,3.0,0.972567,17.0,0.876408,84.1598,85.3647,1.04074,segment_0120_app2.swc,Xu_BA071_CP_2,A01
